ticker,auc_test,auc_train,acc_test,acc_train
AEP,0.5474165754539586,0.6399806850762033,0.5076452599388379,0.6058027079303675
MMM,0.5178380443086325,0.5817802291565091,0.42813455657492355,0.5671179883945842
DAL,0.493877148862698,0.5869526590509645,0.5869526590509645,0.55357833655706
COO,0.5145725722535224,0.6327760986519979,0.6327760986519979,0.5798839458413927
APD,0.5588918878392563,0.5780119542996331,0.5780119542996331,0.5528046421663443
RTX,0.5683065002639318,0.5557887302779865,0.5557887302779865,0.5303675048355899
EXPE,0.41673159421378214,0.5918665939330008,0.5918665939330008,0.5806576402321083
BURL,0.6329449838187702,0.6181793786602532,0.6181793786602532,0.5813373253493014
TTWO,0.4856100299401197,0.5834223028879517,0.5834223028879517,0.5887814313346228
KEYS,0.5148450820154037,0.5971722999552628,0.5971722999552628,0.5858187957231289
RHI,0.5182383342071755,0.5644305637971481,0.5644305637971481,0.5508704061895551
FIS,0.5424229390681004,0.5683482061555273,0.5683482061555273,0.5589941972920697
BLK,0.566061629379485,0.6078674760653558,0.6078674760653558,0.5880077369439072
TEL,0.506519868293048,0.5769548632037851,0.5769548632037851,0.5411992263056092
GWW,0.5387258256541018,0.5778632159162925,0.5778632159162925,0.5342359767891682
HON,0.5697473174108688,0.5667604427155691,0.5667604427155691,0.5709864603481625
PEP,0.652562023980092,0.585537780438772,0.585537780438772,0.5636363636363636
CRL,0.49355225671015146,0.5850333891940427,0.5850333891940427,0.5659574468085107
IQV,0.5615996097113012,0.5505779481904051,0.5505779481904051,0.5939452186448823
CHTR,0.4648235800344234,0.5436414132216354,0.5436414132216354,0.5589941972920697
EIX,0.620981641064069,0.5873753956388323,0.5873753956388323,0.5458413926499033
IBM,0.594946128860141,0.6410389105058366,0.6410389105058366,0.5802707930367504
FOXA,0.5596518177163339,0.644182039040651,0.644182039040651,0.5319905213270142
DOCU,0.5706277372262774,0.7099306529530933,0.7099306529530933,0.6532416502946955
SYY,0.5567074027251018,0.5516749032025874,0.5516749032025874,0.546615087040619
FDS,0.5929552439492893,0.5739434908096612,0.5739434908096612,0.5775628626692456
CPRI,0.5403960396039604,0.5992418515969629,0.5992418515969629,0.5646515533165407
CTVA,0.586746481831548,0.6973714907846644,0.6973714907846644,0.6042713567839196
